country_name,alpha_3_code,continent,sub_region
Afghanistan,AFG,Asia,Southern Asia
Åland Islands,ALA,Europe,Northern Europe
Albania,ALB,Europe,Southern Europe
Algeria,DZA,Africa,Northern Africa
American Samoa,ASM,Oceania,Polynesia
Andorra,AND,Europe,Southern Europe
Angola,AGO,Africa,Sub-Saharan Africa
Anguilla,AIA,Americas,Latin America and the Caribbean
Antarctica,ATA,,
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean
Argentina,ARG,Americas,Latin America and the Caribbean
Armenia,ARM,Asia,Western Asia
Aruba,ABW,Americas,Latin America and the Caribbean
Australia,AUS,Oceania,Australia and New Zealand
Austria,AUT,Europe,Western Europe
Azerbaijan,AZE,Asia,Western Asia
Bahamas,BHS,Americas,Latin America and the Caribbean
Bahrain,BHR,Asia,Western Asia
Bangladesh,BGD,Asia,Southern Asia
Barbados,BRB,Americas,Latin America and the Caribbean
Belarus,BLR,Europe,Eastern Europe
Belgium,BEL,Europe,Western Europe
Belize,BLZ,Americas,Latin America and the Caribbean
Benin,BEN,Africa,Sub-Saharan Africa
Bermuda,BMU,Americas,Northern America
Bhutan,BTN,Asia,Southern Asia
Bolivia ,BOL,Americas,Latin America and the Caribbean
Bonaire,BES,Americas,Latin America and the Caribbean
Bosnia and Herzegovina,BIH,Europe,Southern Europe
Botswana,BWA,Africa,Sub-Saharan Africa
Bouvet Island,BVT,Americas,Latin America and the Caribbean
Brazil,BRA,Americas,Latin America and the Caribbean
British Indian Ocean Territory,IOT,Africa,Sub-Saharan Africa
Brunei Darussalam,BRN,Asia,South-eastern Asia
Bulgaria,BGR,Europe,Eastern Europe
Burkina Faso,BFA,Africa,Sub-Saharan Africa
Burundi,BDI,Africa,Sub-Saharan Africa
Cabo Verde,CPV,Africa,Sub-Saharan Africa
Cambodia,KHM,Asia,South-eastern Asia
Cameroon,CMR,Africa,Sub-Saharan Africa
Canada,CAN,Americas,Northern America
Cayman Islands,CYM,Americas,Latin America and the Caribbean
Central African Republic,CAF,Africa,Sub-Saharan Africa
Chad,TCD,Africa,Sub-Saharan Africa
Chile,CHL,Americas,Latin America and the Caribbean
China,CHN,Asia,Eastern Asia
Christmas Island,CXR,Oceania,Australia and New Zealand
Cocos (Keeling) Islands,CCK,Oceania,Australia and New Zealand
Colombia,COL,Americas,Latin America and the Caribbean
Comoros,COM,Africa,Sub-Saharan Africa
Congo,COG,Africa,Sub-Saharan Africa
"Congo, D.R.",COD,Africa,Sub-Saharan Africa
Cook Islands,COK,Oceania,Polynesia
Costa Rica,CRI,Americas,Latin America and the Caribbean
Côte d'Ivoire,CIV,Africa,Sub-Saharan Africa
Croatia,HRV,Europe,Southern Europe
Cuba,CUB,Americas,Latin America and the Caribbean
Curaçao,CUW,Americas,Latin America and the Caribbean
Cyprus,CYP,Asia,Western Asia
Czechia,CZE,Europe,Eastern Europe
Denmark,DNK,Europe,Northern Europe
Djibouti,DJI,Africa,Sub-Saharan Africa
Dominica,DMA,Americas,Latin America and the Caribbean
Dominican Republic,DOM,Americas,Latin America and the Caribbean
Ecuador,ECU,Americas,Latin America and the Caribbean
Egypt,EGY,Africa,Northern Africa
El Salvador,SLV,Americas,Latin America and the Caribbean
Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa
Eritrea,ERI,Africa,Sub-Saharan Africa
Estonia,EST,Europe,Northern Europe
Eswatini,SWZ,Africa,Sub-Saharan Africa
Ethiopia,ETH,Africa,Sub-Saharan Africa
Falkland Islands (Malvinas),FLK,Americas,Latin America and the Caribbean
Faroe Islands,FRO,Europe,Northern Europe
Fiji,FJI,Oceania,Melanesia
Finland,FIN,Europe,Northern Europe
France,FRA,Europe,Western Europe
French Guiana,GUF,Americas,Latin America and the Caribbean
French Polynesia,PYF,Oceania,Polynesia
French Southern Territories,ATF,Africa,Sub-Saharan Africa
Gabon,GAB,Africa,Sub-Saharan Africa
Gambia,GMB,Africa,Sub-Saharan Africa
Georgia,GEO,Asia,Western Asia
Germany,DEU,Europe,Western Europe
Ghana,GHA,Africa,Sub-Saharan Africa
Gibraltar,GIB,Europe,Southern Europe
Greece,GRC,Europe,Southern Europe
Greenland,GRL,Americas,Northern America
Grenada,GRD,Americas,Latin America and the Caribbean
Guadeloupe,GLP,Americas,Latin America and the Caribbean
Guam,GUM,Oceania,Micronesia
Guatemala,GTM,Americas,Latin America and the Caribbean
Guernsey,GGY,Europe,Northern Europe
Guinea,GIN,Africa,Sub-Saharan Africa
Guinea-Bissau,GNB,Africa,Sub-Saharan Africa
Guyana,GUY,Americas,Latin America and the Caribbean
Haiti,HTI,Americas,Latin America and the Caribbean
Heard Island and McDonald Islands,HMD,Oceania,Australia and New Zealand
Holy See,VAT,Europe,Southern Europe
Honduras,HND,Americas,Latin America and the Caribbean
Hong Kong,HKG,Asia,Eastern Asia
Hungary,HUN,Europe,Eastern Europe
Iceland,ISL,Europe,Northern Europe
India,IND,Asia,Southern Asia
